,id,label,statement,subject,speaker,speaker_title,State,party_affiliation,barely_true,false,half_true,mostly_true,pants_on_fire,context,Polarity,sentiment_score,variation,sensational_value,label_value
214,10764.json,TRUE,im member house representatives raised campaign funds last election small contributions less 200,campaign-finance,alan-grayson,U.S. House of Representatives,Florida,democrat,6,5,4,11,1,an interview with Democracy Now,1,0,0,0,0
215,7261.json,TRUE,unlike gridlock washington 80 percent bills passed general assembly bipartisan support,"bipartisanship,job-accomplishments",tom-niehaus,President of the Ohio Senate,Ohio,republican,0,0,0,0,1,an online video,1,1,0.119,0,0
216,6780.json,FALSE,josh mandel lying record rating ohios investment fund improved,"job-accomplishments,message-machine-2012,state-finances",sherrod-brown,U.S. Senator,Ohio,democrat,3,4,5,8,1,a campaign commercial,1,-1,0.284,1,4
217,9837.json,half-true,rick scott took 200 000 family leased land drilling trying hide,"campaign-finance,environment",nextgen-climate,,,organization,0,0,3,0,0,a TV ad,0,0,0.082,0,2
218,4267.json,half-true,money possible lease ohio turnpike would used,"infrastructure,transportation",john-kasich,"Governor of Ohio as of Jan. 10, 2011",Ohio,republican,9,8,10,18,3,an interview,0,0,0,0,2
219,1434.json,mostly-true,beginning last decade america budget surplus 200 billion time took office one year deficit 1 trillion projected deficits 8 trillion next decade,"economy,federal-budget",barack-obama,President,Illinois,democrat,70,71,160,163,9,his State of the Union speech,0,-1,0.066,0,1
220,8050.json,half-true,president 1 540 nominations confirmed four defeated,legal-issues,mitch-mcconnell,Senate minority leader,Kentucky,republican,7,6,5,7,0,an interview on 'Meet the Press',1,-1,0.22,0,2
221,2258.json,TRUE,u taxpayers forced fund feisal abdul raufs trip middle east,"foreign-policy,religion,terrorism",ileana-ros-lehtinen,U.S. Representative,Florida,republican,0,0,1,0,0,a press release.,-1,-1,0.176,0,0
222,9672.json,barely-true,milwaukee county taxpayers paid 370 000 settle lawsuit decision sheriff david clarke jr use untrained corrections officers rather deputies patrol lakefront,"labor,public-safety",chris-moews,"Lieutenant, Milwaukee Police Department",Wisconsin,democrat,1,0,0,0,0,an interview,0,-1,0.066,0,5
223,13380.json,mostly-true,justice department policies fbi director james comey discussing details federal investigation close election,"criminal-justice,government-regulation",robby-mook,Campaign manager for Hillary Clinton,New York,democrat,0,0,0,2,0,"comments on ""Meet the Press""",0,1,0.152,0,1
224,1419.json,TRUE,democratic presidents considerably effective creating private sector jobs,"economy,history,workers",carolyn-maloney,U.S. Representative,New York,democrat,0,0,0,0,0,a floor speech in the House,1,1,0.405,1,0
225,681.json,TRUE,joe biden voted first gulf war opposed surge wanted partition iraq,iraq,lindsey-graham,U.S. senator,South Carolina,republican,2,2,4,2,0,an interview on ABC News' <i> This Week </i>,1,-1,0.196,0,0
226,6693.json,barely-true,says rush limbaugh made clear hed rather see country fail president barack obama succeed,bipartisanship,mark-strama,Small business owner,Texas,democrat,1,0,0,0,0,remarks to Texas delegates to the Democratic National Convention.,-1,1,0.099,0,5
227,827.json,half-true,one percent american people make 21 percent income america wasnt way george bush became president,taxes,joe-biden,U.S. senator,Delaware,democrat,11,10,21,16,4,a TV interview,0,0,0,0,2
228,1800.json,half-true,military recruiting went harvard every single day throughout time kagan,"kagan-nomination,military,abc-news-week",patrick-leahy,U.S. Senator,Vermont,democrat,0,0,1,0,0,"ABC's ""This Week""",-1,0,0,0,2
229,7754.json,mostly-true,says rick perrys plan texas cut funding public schools 25,"children,education,state-budget,state-finances",fix-austin-schools,,,none,0,0,0,1,0,a leaflet.,0,-1,0.13,0,1
230,10113.json,half-true,says david perdue wants abolish u department education would cost georgia schools 1 billion year eliminate millions student loans,"education,federal-budget",democratic-senatorial-campaign-committee,,,democrat,1,2,3,1,0,a television ad,1,0,0,0,2
231,3806.json,mostly-true,paul ryan budget proposal would privatize medicare,"federal-budget,health-care,medicare",agenda-project,Liberal advocacy group,New York,none,0,1,0,1,0,an advertisement,0,0,0,0,1
232,6881.json,mostly-true,high school students arrested campus twice likely graduate four times less likely graduate theyve appeared court,"criminal-justice,education",steven-teske,Clayton County Juvenile Court Judge,,none,0,0,0,1,0,an article,-1,-1,0.114,0,1
233,5857.json,half-true,united states imprisons nation world,criminal-justice,hank-johnson,U.S. Congressman,Georgia,democrat,3,0,4,3,0,a speech,1,1,0.219,0,2
234,11690.json,pants-fire,says marco rubio one open border,immigration,rand-paul,Candidate for U.S. Senate and physician,Kentucky,republican,7,8,10,12,3,in the CNN debate in Las Vegas,0,0,0,0,3
235,10570.json,mostly-true,30 years federal spending education grown 375 percent test scores remain flat,"education,federal-budget",dave-brat,College professor,Virginia,republican,2,5,0,2,0,a Facebook post.,-1,0,0,0,1
236,9881.json,barely-true,says cuts medicare affect people already paid paid,"federal-budget,health-care,medicare",national-republican-senatorial-committee,,,republican,11,5,7,2,5,a campaign ad,0,-1,0.136,0,5
237,9133.json,barely-true,david alameel giving thousands dollars support republican party candidates including john cornyn greg abbott,"bipartisanship,campaign-finance,candidates-biography",kesha-rogers,,Texas,democrat,1,0,1,0,0,an interview,0,1,0.328,1,5
238,4811.json,TRUE,american healthcare system burns 18 percent national gdp nobody else close,"federal-budget,health-care",sheldon-whitehouse,U.S. Senator,Rhode Island,democrat,2,3,2,7,0,a speech,0,0,0,0,0
239,4317.json,FALSE,providences port 200 miles closer europe eastern port,"economy,infrastructure,trade,transportation",james-bennett,"director, Department of Economic Development, Providence, R.I.",Rhode Island,newsmaker,0,1,0,0,1,a news conference,-1,0,0,0,4
240,5627.json,TRUE,says need photo id purchase sudafed texas,"elections,legal-issues",rick-perry,Governor,Texas,republican,30,30,42,23,18,a Fox News interview.,0,0,0,0,0
241,4812.json,mostly-true,twenty percent housing portlands pearl district affordable,"housing,infrastructure,taxes,urban",tom-hughes,Metro president,Oregon,democrat,0,0,0,1,0,a guest column,0,0,0,0,1
242,4327.json,mostly-true,says allowing payroll tax holiday expire would end costing another estimated 900 000 jobs 2012,taxes,jeff-merkley,U.S. Senator,Oregon,democrat,0,1,3,6,0,letter to a constituent,0,1,0.137,0,1
243,451.json,half-true,hillary clinton supported nafta permanent china trade pennsylvania lost thousands jobs,foreign-policy,barack-obama,President,Illinois,democrat,70,71,160,163,9,a mailer to Pennsylvania voters,0,0,0,0,2
244,4102.json,half-true,numerous studies shown called right work laws generate jobs economic growth,"jobs,unions",sheila-oliver,Assemblywoman,New Jersey,democrat,0,1,1,3,0,a press release from Assembly Speaker Sheila Oliver (D-Essex),1,1,0.148,0,2
245,975.json,TRUE,obama budget plan would take national debt 80 percent gross national product historically 40 percent,federal-budget,judd-gregg,U.S. Senator,,republican,0,0,0,1,0,a Fox News interview,0,-1,0.211,0,0
246,13026.json,barely-true,says hillary clinton said veterans affairs scandal exaggerated said satisfied going,veterans,donald-trump,President-Elect,New York,republican,63,114,51,37,61,the NBC Commander-In-Chief Forum ,1,0,0.004,0,5
247,11772.json,FALSE,driven health care costs lowest theyve 50 years,health-care,hillary-clinton,Presidential candidate,New York,democrat,40,29,69,76,7,comments during the South Carolina Democratic presidential debate,-1,-1,0.148,0,4
248,1486.json,half-true,president barack obama initial response heard christmas underwear bomber say act isolated extremist,"homeland-security,terrorism,abc-news-week",dick-cheney,,,republican,5,4,2,2,1,an interview on ABC's This Week,0,-1,0.087,0,2
249,3391.json,half-true,says sen sherrod brown admitted 787 billion stimulus law failed specifically attacking republicans wanting lower americans taxes claims stimulus bill didnt enough lower taxes,"stimulus,taxes",national-republican-senatorial-committee,,,republican,11,5,7,2,5,a news release,-1,-1,0.216,0,2
250,1226.json,mostly-true,1950s lot people got rich pay top tax rate 90 percent,taxes,michael-moore,Documentary filmmaker,,none,2,5,1,6,0,"in his movie ""Capitalism: A Love Story""",1,1,0.168,0,1
251,11656.json,mostly-true,charleston c shootershould never given gun universal background check fast enough,"corrections-and-updates,guns,homeland-security",hillary-clinton,Presidential candidate,New York,democrat,40,29,69,76,7,an interview with George Stephanopoulos,-1,0,0.082,0,1
252,240.json,barely-true,sixty five percent iraqi people say okay shoot american soldier,iraq,bill-richardson,Governor,New Mexico,democrat,1,2,3,8,1,a debate in Las Vegas,1,0,0.029,0,5
253,3197.json,FALSE,twelve judges thrown legal challenges health care law rejected notion health care law unconstitutional,"health-care,supreme-court",barack-obama,President,Illinois,democrat,70,71,160,163,9,an interview on Fox,1,1,0.187,0,4
254,5297.json,half-true,says gov chris christies proposal reduce state income taxes would second tax cut rich governor two years,taxes,paul-sarlo,State Senator,New Jersey,democrat,0,0,1,0,0,opening remarks at a Senate committee hearing,1,1,0.052,0,2
255,968.json,TRUE,warren buffett still support,economy,barack-obama,President,Illinois,democrat,70,71,160,163,9,a television interview,0,1,0.351,1,0
256,5922.json,TRUE,says george lemieux one two republicans voted president barack obamas jobs bill,"candidates-biography,jobs",connie-mack,U.S. representative from Fort Myers,Florida,republican,3,3,1,3,1,a Web ad,0,0,0,0,0
257,7108.json,FALSE,precinct allen west patrick murphy recount 7 registered voters guatemalan community tally showed 900 voted,elections,facebook-posts,Social media posting,,none,14,18,15,11,36,a post on Facebook,0,0,0,0,4
258,5813.json,mostly-true,230 000 people unemployment took office unemployment,"economy,workers",rick-scott,Governor,Florida,republican,28,23,38,34,7,radio interview,0,-1,0.309,1,1
259,7884.json,barely-true,one person kathleen sebelius going determine whether 10 year old lung patient sarah murnaghan would live die,"children,health-care,public-health,pundits",rush-limbaugh,Radio host,,none,9,11,5,2,10,his radio show,1,-1,0.17,0,5
260,2411.json,pants-fire,ron klein repeatedly voted favor amnesty illegal immigrants,immigration,allen-west,"U.S. representative, Florida District 22",Florida,republican,6,9,3,1,4,a campaign website,-1,-1,0.059,0,3
261,8428.json,FALSE,local law enforcement access obamacare data hubs treasure trove personal info,"criminal-justice,health-care,legal-issues,privacy",evan-feinberg,"President, Generation Opportunity","Washington, D.C.",activist,0,1,0,0,0,a Providence Journal commentary,0,1,0.128,0,4
262,1391.json,TRUE,tenure mayor saw houstons crime rates drop lowest levels 25 years,crime,bill-white,Former mayor of Houston,Texas,democrat,2,3,5,7,3,the biography on his campaign Web site,1,-1,0.325,1,0
263,11668.json,pants-fire,barack obamas columbia university id says foreign student went barry soetoro,"corrections-and-updates,obama-birth-certificate",facebook-posts,Social media posting,,none,14,18,15,11,36,multiple posts,-1,0,0,0,3
264,490.json,barely-true,john mccain one richest people senate filled millionaires says solution housing crisis people get second job skip vacations,economy,moveon,,,democrat,2,4,3,0,0,an e-mail,1,0,0.044,0,5
265,8489.json,FALSE,terry mcauliffe wants raise taxes 1 700 pay infinite promises,"education,state-budget,taxes",ken-cuccinelli,Attorney General,Virginia,republican,1,10,3,2,1,a debate.,1,1,0.076,0,4
266,12446.json,half-true,hypocrisy clinton foundation top male staff made average 218 029 top female staff made 153 014 2010 2014,"candidates-biography,women,workers",donald-trump,President-Elect,New York,republican,63,114,51,37,61,an Instagram post,1,1,0.167,0,2
267,7233.json,mostly-true,since federal violence women act adopted 1994 cases domestic violence fallen 67 percent,"crime,criminal-justice,women",gwen-moore,U.S. House member -- 4th District,Wisconsin,democrat,3,4,4,3,1,a letter to congressional leadership,0,-1,0.386,1,1
268,1775.json,half-true,says federal law enforcement officers cut questioning christmas day underwear bomber giving miranda warning 30 minutes questioning,"crime,homeland-security,legal-issues,terrorism,abc-news-week",rudy-giuliani,Attorney,New York,republican,9,11,10,7,3,an interview on ABC's This Week,0,-1,0.17,0,2
269,1347.json,half-true,legalizing illegal immigrants,immigration,lou-dobbs,,,none,1,2,0,1,0,an interview on Telemundo,-1,-1,0.545,1,2
270,4649.json,TRUE,nearly half pregnancies u unintended,"abortion,census,children,families,health-care,public-health,women",edith-ajello,Rhode Island State Representative,Rhode Island,democrat,0,1,0,0,0,commentary piece,-1,0,0,0,0
271,534.json,half-true,borrowing saudi money saudi oil result dependency debt,energy,john-mccain,U.S. senator,Arizona,republican,31,39,31,37,8,"Houston, Texas",0,0,0,0,2
272,5387.json,half-true,says homes sale around oswego lake right 150 000 anyone welcome buy,housing,doug-thomas,President of the board of directors of the Lake Oswego Corporation,Oregon,none,0,0,1,0,0,an Oregonian article.,1,1,0.125,0,2
273,2248.json,half-true,since president became president lost 3 3 million jobs private sector know whos done ok whos complaining today public sector weve gained 590 000 public sector jobs,"economy,federal-budget",steve-latourette,Former U.S. representative from Ohio's 11th District,Ohio,republican,0,0,3,1,0,a speech,1,1,0.116,0,2
274,2032.json,FALSE,top 1 percent pay half entire revenue country,taxes,trent-franks,U.S. Representative,Arizona,republican,2,1,0,0,0,an interview on MSNBC's 'The Dylan Ratigan Show',1,0,0.028,0,4
275,10356.json,barely-true,difference previous four years things headed brought last four years total 816 saved property tax money,"state-budget,state-finances,taxes",scott-walker,Milwaukee County Executive,Wisconsin,republican,26,41,32,40,11,remarks to reporters,-1,1,0.083,0,5
276,8385.json,half-true,chris christie increased taxes anyone,taxes,kim-guadagno,Lieutenant Governor of New Jersey,,republican,0,2,1,0,0,a speech to supporters in Carlstadt,0,-1,0.185,0,2
277,7386.json,barely-true,united states system growers dairies bring workforce legally u,"agriculture,immigration,workers",marco-rubio,U.S. Senator,Florida,republican,33,24,32,35,5,a blog post on RedState.com,1,1,0.198,0,5
278,3195.json,FALSE,says never said would keep education funding,"education,state-budget",rick-scott,Governor,Florida,republican,28,23,38,34,7,talking about his budget proposal.,0,0,0,0,4
279,12497.json,TRUE,since 1978 college tuition nationwide gone something like four times rate inflation,education,scott-walker,Milwaukee County Executive,Wisconsin,republican,26,41,32,40,11,a radio interview,0,1,0.143,0,0
280,13293.json,half-true,says sen rob portman said would irresponsible cut medicare,medicare,ted-strickland,Former Ohio governor,Ohio,democrat,2,6,7,4,1,in a Ohio senatorial candidate debate,0,-1,0.256,0,2
281,4893.json,mostly-true,dekalb school construction projects always came budget,education,thomas-brown,,Georgia,democrat,0,0,0,1,0,an interview,1,0,0,0,1
282,689.json,FALSE,palin supported right wing extremist pat buchanan president 2000,israel,moveon,,,democrat,2,4,3,0,0,an e-mail.,0,1,0.204,0,4
283,4896.json,barely-true,says sen sherrod brown voted block american energy production increase energy taxes,"energy,message-machine-2012,taxes",us-chamber-commerce,,,none,6,3,3,1,1,a television commercial,0,1,0.186,0,5
284,9465.json,barely-true,says jeanne shaheen voted measure would amounted new national energy tax,"energy,taxes,voting-record",scott-brown,,New Hampshire,republican,2,2,1,3,1,a press release,1,1,0.13,0,5
285,7303.json,half-true,washington c strictest gun laws country passed violence skyrocketed,"crime,criminal-justice,drugs,government-regulation,guns,public-safety",marco-rubio,U.S. Senator,Florida,republican,33,24,32,35,5,an interview on Fox News,0,-1,0.277,1,2
286,6627.json,mostly-true,seven presidents barack obama republicans democrats tried expand health care americans,"health-care,history",julian-castro,"Mayor, San Antonio",Texas,democrat,0,0,3,3,0,"a keynote speech to the Democratic National Convention in Charlotte, N.C.",0,1,0.256,0,1
287,5429.json,FALSE,fighting move toughen penalties workplace gender discrimination state sen glenn grothman said didnt believe women belonged workplace belonged home cooking cleaning babies,"jobs,legal-issues,women",christine-sinicki,State Representative 20th District,Wisconsin,democrat,0,1,0,0,0,a legislative floor speech,0,0,0.021,0,4
288,5852.json,FALSE,put 47 billion revenue raised 10 years buffett rule infrastructure could create 611 000 infrastructure jobs,"economy,federal-budget,jobs,transportation",sheldon-whitehouse,U.S. Senator,Rhode Island,democrat,2,3,2,7,0,a speech on the floor of the U.S. Senate,0,1,0.084,0,4
289,5043.json,pants-fire,proper collective noun group baboons believe congress,"animals,congress,history,polls",chain-email,,,none,11,43,8,5,105,a message via the Internet,0,0,0,0,3
290,599.json,TRUE,repeatedly said many predatory loans made mortgage system target african american latino communities,economy,barack-obama,President,Illinois,democrat,70,71,160,163,9,"a town hall in St. Petersburg, Fla.",1,0,0,0,0
291,10411.json,mostly-true,starting december 2007 1 4 million jobs created texas period rest country lost 400 000 jobs,"job-accomplishments,jobs",rick-perry,Governor,Texas,republican,30,30,42,23,18,valedictory speech as governor to the Texas Legislature,0,0,0.012,0,1
292,3809.json,barely-true,health reform legislation washington passed last year made difficult hire increased costs employers,"economy,health-care",rob-portman,U.S. senator from Ohio,Ohio,republican,3,5,11,11,1,a press availability following a policy luncheon,0,0,0.028,0,5
293,3928.json,barely-true,cbo congressional budget office said obamacare kill 800 000 jobs,"economy,health-care",michele-bachmann,Congresswoman,Minnesota,republican,8,22,6,4,16,a debate in New Hampshire,0,-1,0.266,1,5
294,135.json,barely-true,thompson voted 250 000 caps damages almost anything would make legal system fairer,legal-issues,rudy-giuliani,Attorney,New York,republican,9,11,10,7,3,"a Republican debate in Orlando, Fla.",1,-1,0.072,0,5
295,10580.json,pants-fire,texas fiscal year money reserve 49 states combined,"state-budget,state-finances,states",dan-patrick,Lieutenant governor-elect,Texas,republican,4,4,3,4,4,an interview on KLBJ AM in Austin,1,0,0,0,3
296,610.json,FALSE,using strategic petroleum reserve,energy,barack-obama,President,Illinois,democrat,70,71,160,163,9,,0,0,0,0,4
297,7916.json,mostly-true,immigrants fertile,immigration,jeb-bush,,Florida,republican,17,5,17,24,2,a speech at the Faith and Freedom Coalition Conference,1,0,0,0,1
298,1665.json,mostly-true,proposed education changes cut one teacher pay,education,florida-chamber-commerce,,Florida,none,0,1,1,2,1,a television advertisement.,0,1,0.168,0,1
299,1659.json,pants-fire,number uninsured people massachusetts mandates passed 2006,"health-care,states",rick-perry,Governor,Texas,republican,30,30,42,23,18,a column,0,0,0.061,0,3
300,8601.json,mostly-true,firearms homicides 40 percent since texas passed concealed gun permit law,"civil-rights,crime,guns",jerry-patterson,state land commissioner,Texas,republican,1,1,1,3,0,an online campaign video,-1,0,0,0,1
301,8004.json,FALSE,upwards 90 percent women seeking abortion decide abortion seeing ultrasound,"abortion,children,families,health-care,women",rachel-campos-duffy,,,none,0,1,0,0,0,an interview,0,0,0,0,4
302,4347.json,pants-fire,spend less defense today gdp time since pearl harbor,federal-budget,newt-gingrich,"Co-host on CNN's ""Crossfire""",Georgia,republican,16,15,20,10,11,a Twitter post,-1,0,0.075,0,3
303,256.json,mostly-true,got rid income tax today much revenue 10 years ago,taxes,ron-paul,U.S. representative,Texas,republican,5,8,8,8,3,a <i>Meet the Press</i> interview,1,0,0,0,1
304,2750.json,half-true,says scott walker wants ban common forms birth control including pill,"abortion,message-machine",tom-barrett,Mayor of Milwaukee,Wisconsin,democrat,2,5,8,5,3,a campaign TV ad,-1,-1,0.217,0,2
305,12356.json,FALSE,jason kander supports obamas plan bring remaining suspected terrorists u soil,terrorism,roy-blunt,Senator,Missouri,republican,2,1,0,1,1,a petition against President Obama‰Ûªs plan to close Guantanamo Bay,0,-1,0.18,0,4
306,5388.json,half-true,shelby county donated im sorry gave 44 schools city memphis,"education,infrastructure",chris-thomas,"Shelby County Board of Commission, District 4, Position 1",Tennessee,republican,0,0,1,0,0,a Shelby County Commission meeting.,-1,0,0.098,0,2
307,9745.json,half-true,top u intelligence officials toldevery member congress including president attacked serious way threat emanating syria iraq,"iraq,terrorism",lindsey-graham,U.S. senator,South Carolina,republican,2,2,4,2,0,"comments on ""Fox News Sunday""",1,-1,0.076,0,2
308,2076.json,TRUE,suburbs inundated former residents atlanta housing projects absolutely,housing,barney-simms,Atlanta Housing Authority chief external affairs officer,Georgia,none,0,0,0,0,0,a letter,-1,0,0,0,0
309,5276.json,TRUE,july 1996 mitt romney helped locate missing teenage daughter partner bain capital,candidates-biography,chain-email,,,none,11,43,8,5,105,a chain e-mail and blog and Facebook posts,-1,-1,0.128,0,0
310,2722.json,barely-true,blames mike mcintyre nancy pelosi second straight year cost living increases social security beneficiaries,"message-machine,social-security",national-republican-congressional-committee,,,republican,18,9,8,5,8,a campaign commerical,1,1,0.085,0,5
311,1171.json,barely-true,government going right get bank account health care bill make transfers without knowing,"health-care,pundits",rush-limbaugh,Radio host,,none,9,11,5,2,10,his radio program,1,1,0.113,0,5
312,2011.json,half-true,mechanisms place shut internet privately,infrastructure,andrew-napolitano,judge,,republican,3,0,2,0,3,comments on the 'Glenn Beck' show,-1,0,0,0,2
313,8308.json,barely-true,american people support defunding obamacare oppose shutting government,health-care,marco-rubio,U.S. Senator,Florida,republican,33,24,32,35,5,a press release,-1,1,0.197,0,5
314,7217.json,half-true,report gop insisting changes social security part fiscalcliff false btw changes supported barackobama,"federal-budget,social-security",marco-rubio,U.S. Senator,Florida,republican,33,24,32,35,5,in a tweet,-1,1,0.198,0,2
315,2824.json,TRUE,nobody played clips president obama saying bring knife fight well bring gun,"candidates-biography,pundits",joyce-kaufman,WFTL 850 AM talk show host,Florida,talk-show-host,0,0,0,0,0,a radio show,0,0,0.019,0,0
316,3730.json,pants-fire,people rhode island dont want sex marriage,"civil-rights,gays-and-lesbians,marriage,polls",christopher-plante,"executive director, National Organization for Marriage - Rhode Island",Rhode Island,newsmaker,0,0,0,1,1,a television interview,0,0,0.133,0,3
317,3672.json,half-true,rep paul ryans medicare plan lines pockets private insurance companies increases costs seniors reduce deficit,"deficit,federal-budget,medicare,taxes",gerry-connolly,U.S. Representative,Virginia,democrat,1,0,4,1,0,a press release.,0,1,0.093,0,2
318,6318.json,barely-true,year congress connie mack iv missed almost half votes,candidates-biography,dave-weldon,,Florida,republican,2,0,0,0,1,a robocall,-1,-1,0.145,0,5
319,10198.json,barely-true,1 3 kids drop high school cannot go college start career,"corrections-and-updates,education",jeb-bush,,Florida,republican,17,5,17,24,2,a fundraising letter,1,-1,0.123,0,5
320,9960.json,barely-true,even old gen eisenhower saluted military personnel president,"history,military",rachel-maddow,MSNBC host,,none,6,6,4,6,1,"her book ""Drift""",0,0,0,0,5
321,3281.json,TRUE,wisconsins governor cuts perquisites much plans would still leave workers better private sector counterparts,"labor,pundits,state-budget,abc-news-week",george-will,Columnist,Maryland,columnist,7,6,3,5,1,"ABC's ""This Week""",1,0,0.019,0,0
322,12581.json,barely-true,cant get airplane 2 000 people list able buy gun,"guns,terrorism",john-garamendi,U.S. House of Representatives,California,democrat,1,0,0,1,0,a speech.,1,-1,0.14,0,5
323,9596.json,FALSE,74 percent republicans support affordable care act,"health-care,polls",donna-edwards,U.S. House of Representatives,Maryland,democrat,0,1,0,0,0,"a roundtable discussion on CNN's ""State of the Union""",0,1,0.457,1,4
324,2143.json,half-true,every 1 spent afterschool programs save 5 almost 6 crime costs line,"crime,economy,education,poverty",peter-kilmartin,state representative,Rhode Island,democrat,0,0,2,1,1,a speech at the state Democratic convention,-1,0,0.001,0,2
325,8405.json,half-true,federal government 3 trillion cash flow pay bills wont default,"debt,federal-budget",roger-williams,Businessman,Texas,republican,3,2,2,0,1,an interview as quoted in a news story,0,0,0.089,0,2
326,8794.json,FALSE,says alex sink failed florida homeowners using predatory lending practices,corporations,republican-party-florida,,,republican,10,6,6,6,4,a YouTube video,-1,-1,0.248,0,4
327,11196.json,barely-true,40 percent small mid size banks loan money small businesses wiped since dodd frank passed,financial-regulation,marco-rubio,U.S. Senator,Florida,republican,33,24,32,35,5,the first GOP primary debate.,-1,0,0,0,5
328,2917.json,barely-true,cant check library book without photo id,legal-issues,david-dewhurst,Lieutenant governor,Texas,republican,8,8,10,5,5,an interview.,0,0,0,0,5
329,11555.json,pants-fire,says starbucks took christmas brand new cups,religion,joshua-feuerstein,,,republican,0,0,0,0,1,a video,1,0,0,0,3
330,10449.json,mostly-true,atmospheric conditions could push footballs pressure approximately one half pounds per square inch,sports,bill-belichick,,,none,0,0,0,1,0,a news conference,-1,-1,0.155,0,1
331,13223.json,FALSE,hillary clinton supports unlimited abortion demand moment birth including partial birth abortion taxpayer funding,abortion,ted-cruz,Senator,Texas,republican,36,33,15,19,8,responding to an audience member's question at the Texas Tribune Festival.,0,1,0.048,0,4
332,10611.json,TRUE,legislation cleared georgia house children legal refugees could obtain state scholarships attend private schools,"autism,children,disability,education,families,immigration,state-budget,state-finances",associated-press,journalists,,none,0,0,0,0,0,article,1,1,0.127,0,0
333,2060.json,mostly-true,went losing 3 million jobs last six months bush administration adding almost 600 000 private sector jobs first six months year,"economy,government-efficiency,job-accomplishments",joe-biden,U.S. senator,Delaware,democrat,11,10,21,16,4,a news conference,1,-1,0.085,0,1
334,4687.json,half-true,star ohio fund received highest possible credit rating one funds receive,"economy,job-accomplishments,state-finances",josh-mandel,Ohio treasurer,Ohio,republican,4,5,4,5,6,an email to supporters,0,1,0.14,0,2
335,7210.json,half-true,taxpayers hook less third proposed new atlanta falcons stadium funds repaid money comes outsiders,"sports,state-finances",nathan-deal,,,republican,9,5,11,11,0,a television interview,-1,0,0,0,2
336,5235.json,mostly-true,last 22 months businesses created 3 million jobs last year created jobs since 2005,"corrections-and-updates,economy,jobs",barack-obama,President,Illinois,democrat,70,71,160,163,9,the State of the Union address,1,1,0.174,0,1
337,8210.json,half-true,every year 40 million leaving missouri lone star state,economy,rick-perry,Governor,Texas,republican,30,30,42,23,18,a radio ad,1,-1,0.139,0,2
338,12185.json,mostly-true,college loan loan united states cannot refinance interest rates go,"debt,economy,education",bill-clinton,former president,Arkansas,democrat,4,2,12,11,3,a campaign speech,-1,0,0.015,0,1
339,1192.json,mostly-true,house representatives never passed resolution disapproval condemn member behavior,history,john-boehner,Speaker of the House of Representatives,Ohio,republican,13,22,11,4,2,a floor speech,0,-1,0.167,0,1
340,10295.json,mostly-true,younger competitors entirely immigration,immigration,barack-obama,President,Illinois,democrat,70,71,160,163,9,a speech to business leaders,0,0,0,0,1
341,4332.json,half-true,recent international reports show united states near bottom among industrialized nations k 12 academic achievement,education,chip-rogers,State Senator,Georgia,republican,1,0,1,1,0,a town hall meeting,1,1,0.149,0,2
342,4655.json,TRUE,says 24 million people country cant find full time job 50 million cant see doctor theyre sick 47 million people need government help feed 15 million families owe value home,economy,alan-grayson,U.S. House of Representatives,Florida,democrat,6,5,4,11,1,"appearance on Bill Maher show on Oct. 7, 2011",-1,1,0.045,0,0
343,11215.json,half-true,policy mistakes clintons made got us large degree situation today mass incarceration,criminal-justice,julius-jones,Founder of Black Lives Matter Worcester,Massachusetts,activist,0,0,1,0,0,an interview on MSNBC,1,-1,0.098,0,2
344,10796.json,barely-true,says raised average family income 50 percent tenure arkansas governor,"income,state-budget",mike-huckabee,author,Arkansas,republican,12,5,9,3,4,a video,-1,0,0,0,5
345,2925.json,half-true,tried give us 400 million build high speed train goes 39 miles hour,"infrastructure,stimulus,transportation",john-kasich,"Governor of Ohio as of Jan. 10, 2011",Ohio,republican,9,8,10,18,3,a CNN interview,0,0,0,0,2
346,2903.json,half-true,says cbo estimates fully extending bush tax cuts would add 600 000 1 4 million jobs 2011 900 000 2 7 million jobs 2012,"economy,taxes",national-association-manufacturers,Trade association,"Washington, D.C.",none,0,0,1,0,0,a statement,0,-1,0.087,0,2
347,4181.json,TRUE,president reagan raised debt ceiling 18 times george w bush seven times,"bipartisanship,federal-budget",barack-obama,President,Illinois,democrat,70,71,160,163,9,a televised address,0,-1,0.135,0,0
348,3615.json,half-true,according david cay johnston average american pays 22 percent income federal taxes richest 400 americans pay 16 percent income federal taxes,"pundits,taxes",chris-hayes,"Host, All In",,none,0,0,1,0,0,"an interview on MSNBC's ""The Rachel Maddow Show""",-1,1,0.058,0,2
349,9031.json,FALSE,young americans right theyre covered health insurance,health-care,barack-obama,President,Illinois,democrat,70,71,160,163,9,"a Funnyordie.com ""Between Two Ferns"" interview with Zach Galifianakis",1,0,0,0,4
350,9838.json,mostly-true,1952 corporate income tax accounted 33 percent federal tax revenue today despite record breaking profits corporate taxes bring less 9 percent,"corporations,taxes",bernie-s,U.S. Senator,Vermont,independent,18,12,22,41,0,a meme on social media,-1,-1,0.088,0,1
351,7765.json,TRUE,last 10 years texas created 33 percent net new jobs nationwide,"economy,job-accomplishments,jobs",rick-perry,Governor,Texas,republican,30,30,42,23,18,an advertisement,1,1,0.125,0,0
